date,city,pm2_5,pm10,no2,temp,humidity
2021-08-24,Islamabad,66.96,87.07,27.76,29.7,55
2021-08-24,Islamabad,64.5,82.37,24.33,29.4,56
2021-08-24,Islamabad,64.21,80.38,39.41,28.9,58
2021-08-24,Islamabad,64.75,79.55,51.41,28.4,60
2021-08-24,Islamabad,59.86,71.18,27.08,28.1,62
2021-08-24,Islamabad,63.68,74.63,19.71,26.9,67
2021-08-24,Islamabad,69.67,80.41,13.02,26.1,75
2021-08-24,Islamabad,66.53,77.03,6.34,27.1,72
2021-08-24,Islamabad,62.03,72.65,5.23,29.1,64
2021-08-24,Islamabad,60.56,71.47,5.74,31.0,57
2021-08-24,Islamabad,59.11,70.93,6.34,32.6,51
2021-08-24,Islamabad,57.26,69.79,8.4,34.0,46
2021-08-24,Islamabad,55.74,68.78,13.2,35.3,42
2021-08-24,Islamabad,67.19,82.19,116.53,36.2,39
2021-08-24,Islamabad,89.82,108.59,159.03,37.2,36
2021-08-24,Islamabad,112.81,135.98,171.36,37.9,33
2021-08-24,Islamabad,126.61,152.77,183.7,37.9,32
2021-08-24,Islamabad,126.96,154.01,167.25,37.1,33
2021-08-24,Islamabad,116.86,142.81,135.72,35.9,37
2021-08-24,Islamabad,90.56,111.02,104.19,34.3,40
2021-08-24,Islamabad,83.83,101.81,51.41,33.3,44
2021-08-24,Islamabad,81.72,97.7,23.99,32.5,47
2021-08-24,Islamabad,79.86,93.66,13.2,32.1,48
2021-08-24,Islamabad,79.96,92.68,12.0,31.1,50
2021-08-25,Islamabad,80.33,92.38,13.2,30.9,51
2021-08-25,Islamabad,79.72,91.4,17.48,30.5,52
2021-08-25,Islamabad,79.04,90.52,34.27,30.2,52
2021-08-25,Islamabad,77.98,88.92,52.78,29.9,53
2021-08-25,Islamabad,70.8,79.49,26.05,29.6,54
2021-08-25,Islamabad,69.99,78.14,17.65,29.0,56
2021-08-25,Islamabad,73.28,81.15,13.02,28.4,61
2021-08-25,Islamabad,73.75,85.03,7.8,29.4,59
2021-08-25,Islamabad,73.51,90.03,6.86,31.1,54
2021-08-25,Islamabad,75.29,95.31,7.71,32.9,48
2021-08-25,Islamabad,77.32,100.12,9.0,34.3,44
2021-08-25,Islamabad,78.28,103.33,11.14,35.4,41
2021-08-25,Islamabad,77.6,105.17,15.25,36.4,37
2021-08-25,Islamabad,82.88,112.69,76.77,37.1,35
2021-08-25,Islamabad,95.04,126.93,156.28,37.7,32
2021-08-25,Islamabad,107.88,142.17,171.36,38.0,30
2021-08-25,Islamabad,116.0,153.33,159.03,37.9,29
2021-08-25,Islamabad,113.68,151.87,128.87,37.7,29
